f3t3|releerprotocolo| | | |2013-05-23T16:37:14.0000000Z
f3t2|releerfundamentos| | | |2013-05-23T16:38:19.0000000Z
f3t2|releerfundamentos| | | |2013-05-23T16:38:19.0000000Z
f3t2|releerfundamentos| | | |2013-05-23T16:38:20.0000000Z
f3t3|releerprotocolo| | | |2013-05-23T16:39:06.0000000Z
f3t3|releerprotocolo| | | |2013-05-23T16:39:08.0000000Z
f3t3|releerprotocolo| | | |2013-05-23T16:39:08.0000000Z
f3t11|tomaraguadestilada| | | |2013-05-23T16:41:18.0000000Z
f3t10|tomarenzimaligasa| | | |2013-05-23T16:42:00.0000000Z
f3t23|tomartampote| | | |2013-05-23T16:43:55.0000000Z
f3t25|tomarmezclaligacion| | | |2013-05-23T16:45:22.0000000Z
f3t48|agregartampote| | | |2013-05-23T16:47:39.0000000Z
f3t27|soltarbandejapoyata| | | |2013-05-23T16:47:51.0000000Z
f3t32|iniciarmezcla| | | |2013-05-23T16:48:00.0000000Z
f3t52|finmezcla| |f3t33-f3t34-f3t35-f3t36-f3t37|f3t48|2013-05-23T16:48:06.0000000Z
f3t53|soltarpipetaamarilla| | | |2013-05-23T16:48:13.0000000Z
f3t54|entregartubomezcla| | | |2013-05-23T16:48:27.0000000Z
f3t55|abrirtermobloque| | | |2013-05-23T16:48:46.0000000Z
f3t56|soltarmezcla| | | |2013-05-23T16:49:35.0000000Z
f3t57|cerrartermobloque| | | |2013-05-23T16:49:35.0000000Z

f3t58|amplificarfragmento| | | |2013-05-23T16:49:49.0000000Z
f3t59|entregarmezclaligacion| | | |2013-05-23T16:50:04.0000000Z
f3t60|guardarligacion| | | |2013-05-23T16:50:31.0000000Z
f3t61|soltartubonevera| | | |2013-05-23T16:50:43.0000000Z
