accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:06.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:24.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:28.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:32.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:37.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:47:51.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:47:56.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:00.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:20.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:24.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:28.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:33.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:37.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:42.0000000Z
accionrealizada|f2t33|iniciarmezcla|iniciarmezcla|2014-05-19T18:48:46.0000000Z
dependenciasnobloq|f2t52|finmezcla|f2t34-f2t35-f2t37-f2t38-f2t39-f2t40-f2t41|2014-05-19T18:49:35.0000000Z
accionrealizada|f2t26|soltarbandejapoyata|soltarbandejapoyata|2014-05-19T18:49:54.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:50:39.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:50:46.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:50:58.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:51:05.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:51:12.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:51:19.0000000Z
accionrealizada|f2t32|cargarpuntaamarilla|cargarpuntaamarilla|2014-05-19T18:52:45.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:52:51.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:53:10.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:53:26.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:53:38.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:53:49.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:53:54.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:54:14.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:55:32.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:56:01.0000000Z
accionrealizada|f2t30|entregarpipetaamarilla|entregarpipetaamarilla|2014-05-19T18:56:17.0000000Z
dependenciabloq|f2t33|iniciarmezcla|f2t31|2014-05-19T18:57:17.0000000Z
